Question,Answer
Как изменить ФИО собственника?,"Для переоформления лицевого счета на нового владельца, собственнику необходимо обратиться в любое отделение АО«Мосэнергосбыт».При себе необходимо иметь следующие документы:Договор купли-продажи;Свидетельство о государственной регистрации права собственности (есликвартира в собственности);Копия финансового лицевого счета из жилищной организации (если квартира муниципальная);Паспорт;Текущие показания прибора учета на день обращения в отделение АО «Мосэнергосбыт».Все документы должны быть представлены в оригинале или копии, заверенные нотариусом.Также оформить заявку на изменения данных с прикреплением необходимых документов можно в Едином личном кабинете физического лица во вкладке «Реквизиты ЛС»/Общая информация/ Изменить, далее в открывшемся списке выбрать «Собственника/нанимателя» при условии, что задолженность предыдущего собственника или нерешенные вопросы по оплате долга предыдущего собственника, отсутствуют. "
Как исправить ошибку (или опечатку) в ФИОсобственника?,"Подать заявку на изменение данных можно в личном кабинете клиента физического лица во вкладке «Реквизиты ЛС»/ Общая информация/ Изменить, далее в открывшемся списке выбрать «ФИО собственника/нанимателя» и приложить подтверждающие документы или, обратившись в Контактный центр по телефону +7 (499) 550-9-550. Часы работы: ежедневно с 08:30 до 20:30. "
Как изменить телефон?,"Изменить номер мобильного телефона можно самостоятельно, для этого необходимо в Личном кабинете клиента перейти в раздел ""Профиль"" и внестиизменения.Для изменения номера стационарного (домашнего) телефона, необходимо обратиться в Контактный центр по телефону:+7 (499) 550-9-550 (ежедневно с 08:30 до 20:30)."
Как изменить количество проживающих?,"Изменить данные о количестве проживающих можно только на основании соответствующего документа, в котором указанасоответствующая информация (например, в копии финансово-лицевого счета, выписке из домовой книги или ЕдиномЖилищном Документе).Представить документ можно любым удобным способом:Подать обращение в Личном кабинете клиента с прикреплением необходимых документов необходимо во вкладке «Реквизиты ЛС»/Общая информация/ Изменить, далее в открывшемся списке выбрать «Количество проживающих»;Направить документ на электронный адрес info@mosenergosbyt.ru;Обратиться в любое отделение АО «Мосэнергосбыт».В обращении необходимо указать свои контактные данные: номер лицевого счета, адрес, контактные телефоны, а такжеинформацию, которую необходимо изменить."
Как изменить количество комнат?,"Изменить данные о количестве комнат можно только на основании соответствующего документа, в котором указанасоответствующая информация (например, в копии финансово-лицевого счета, выписке из домовой книги или ЕдиномЖилищном Документе).Представить документ можно любым удобным способом:Подать обращение в Личном кабинете клиента с прикреплением необходимых документов необходимо во вкладке «Реквизиты ЛС»/Общая информация/ Изменить, далее в открывшемся списке выбрать «Количество комнат»;Направить документ на электронный адрес info@mosenergosbyt.ru;Обратиться в любое отделение АО «Мосэнергосбыт».В обращении необходимо указать свои контактные данные: номер лицевого счета, адрес, контактные телефоны, а такжеинформацию, которую необходимо изменить."
Как изменить площадь квартиры?,"Изменить данные о площади квартиры можно только на основании соответствующего документа, в котором указанасоответствующая информация (например, в копии финансово-лицевого счета, выписке из домовой книги или ЕдиномЖилищном Документе).Представить документ можно любым удобным способом:Подать обращение в Личном кабинете клиента с прикреплением необходимых документов необходимо во вкладке «Реквизиты ЛС»/Общая информация/ Изменить, далее в открывшемся списке выбрать «Общую площадь»;Направить документ на электронный адрес info@mosenergosbyt.ru;Обратиться в любое отделение АО «Мосэнергосбыт».В обращении необходимо указать свои контактные данные: номер лицевого счета, адрес, контактные телефоны, а такжеинформацию, которую необходимо изменить."
Как изменить адрес для рассылки счетов?,"Изменить адрес для рассылки ежемесячных счетов, можно одним из удобных для вас способов:Самостоятельно в Личном кабинетеклиента. Для этого необходимо в разделе «Профиль», в блоке «Адрес для квитанций» нажать на редактирование данных. На открывшейся странице «Редактирование адреса для получения квитанции» необходимо заполнить обязательную информацию (населенный пункт, улица, дом, индекс, квартира) и нажать кнопку «Сохранить».Воспользоваться терминалом видеосвязи (Автоматизированная система «Видеоконсультант») с операторомКонтактного центра, установленным в МФЦ. Часы работы: Пн-Пт с 09:00 до 20:00.Обратиться в любое отделение АО«Мосэнергосбыт».Обратиться по номеру телефона Контактного Центра 8-499-550- 95-50 ежедневно с 08:30 до 20:30При указании альтернативного адреса направления документов – по адресу лицевого счета документы направляться небудут."
Как изменить тариф в сельской местности?,"В соответствии с Распоряжением Комитета по ценам и тарифам Московской области для населения, потребляющегоэлектрическую энергию в жилых домах расположенных в сельской местности применяется тариф на электрическуюэнергию с понижающим коэффициентом.Для применения тарифа с понижающим коэффициентом необходимо представить документы в обслуживающее отделение АО«Мосэнергосбыт», подтверждающие, что объект энергоснабжения, в отношении которого должен применяться тариф спонижающим коэффициентом 0,7, является жилым домом (жилым строением) и находиться в сельской местности.Документами, подтверждающие указанные обстоятельства, могут являться:Свидетельство о регистрации права на строение (жилой дом, жилое строение), в котором в графе «объект права»указывается назначение объекта недвижимости «жилое», а также указывается адрес его местонахождения;Или Паспорт гражданина РФ, где может быть указано, что гражданин зарегистрирован по месту нахождения объектаэнергоснабжения."
Порядок проверки приборов учёта и оформления актов неучтенного потребления,Памятка
Как оформить/ продлить/переоформить льготу в Москве?,"Для того чтобы использовать льготу при оплате за электроэнергию, ее необходимо оформить/продлить/переоформить вАО «Мосэнергосбыт» одним из удобных способов:В Едином личном кабинете клиента вовкладке «Льготы» (с прикреплением необходимых документов);Воспользоваться терминалом видеосвязи (Автоматизированная система «Видеоконсультант») с операторомКонтактного центра, установленным в МФЦ. Часы работы: Пн-Пт с 08:30 до 20:00.В любом отделении АО «Мосэнергосбыт».В качестве заявителей могут выступать физические лица, проживающие в городе Москве и обладающие правом на льготы по оплате за электроэнергию в соответствии с нормативными правовыми актами Российской Федерации или города Москвы, и обратившиеся с заявлением. Интересы заявителей, могут представлять законные представители заявителей или иные лица, уполномоченные заявителем в установленном порядке.В соответствии с законодательством РФ льготы по оплате электроэнергии предоставляются гражданам не более чем на одну квартиру (жилое помещение)."
